url,records,status,served,detail
http://web.archive.org/web/20221206094537/https://www.lovo.ai/faq,pass1/lovo-ai,ok,20221206094537,
http://web.archive.org/web/20250811013818/https://help.lovo.ai/hc/en-us/articles/25794407382937-What-is-the-free-trial-and-what-does-it-include,pass1/lovo-ai,ok,20250811013818,
http://web.archive.org/web/20250912065421/https://help.lovo.ai/hc/en-us/articles/22141504705049-Can-I-get-a-refund-after-subscribing,pass1/lovo-ai,ok,20250912065421,
http://web.archive.org/web/20251012203945/https://help.lovo.ai/hc/en-us/articles/22141381084697-Can-I-cancel-my-subscription,pass1/lovo-ai,ok,20251012203945,
http://web.archive.org/web/20260403154336/https://lovo.ai/pricing,pass1/lovo-ai,ok,20260403154336,
http://web.archive.org/web/20260708232650/https://sora.com/,pass1/openai-sora,ok,20260708232650,
http://web.archive.org/web/20260728015401/https://lovo.ai/tos,pass1/lovo-ai,ok,20260728015401,
http://web.archive.org/web/20260807074519/https://help.gamma.app/en/articles/11048258-what-does-per-member-billing-mean-in-gamma,pass1/gamma,ok,20260807074519,
http://web.archive.org/web/20260807074703/https://developers.gamma.app/get-started/access-and-pricing,pass1/gamma,ok_nearest,20260807074700,"archive.org resolved to its nearest capture, 0.0h away — same day, normal service behaviour"
http://web.archive.org/web/20260807074731/https://help.gamma.app/en/articles/8077107-how-can-i-upgrade-my-gamma-subscription,pass1/gamma,ok,20260807074731,
http://web.archive.org/web/20260809144705/https://help.gamma.app/en/articles/11048496-what-is-gamma-s-refund-policy-and-how-do-i-request-a-refund,pass1/gamma,ok,20260809144705,
http://web.archive.org/web/20260809144757/https://help.gamma.app/en/articles/8568920-how-do-i-manage-or-cancel-my-gamma-subscription,pass1/gamma,ok,20260809144757,
http://web.archive.org/web/20260809165206/https://app.jobscan.co/plan,pass1/jobscan; adjudicated/jobscan,ok,20260809165206,
https://web.archive.org/web/20250325092238/https://help.play.ht/en/category/billing-zhuwaw/,pass1/playht,ok,20250325092238,
https://web.archive.org/web/20250515084025/https://help.play.ht/en/article/how-to-cancel-subscription-3l85dm/,pass1/playht,ok,20250515084025,
https://web.archive.org/web/20250625003728/https://play.ht/pricing/,pass1/playht,ok,20250625003728,
https://web.archive.org/web/20251225125707/https://play.ht/terms/,pass1/playht,ok,20251225125707,
https://web.archive.org/web/20260309213350/https://hyperleap.ai/terms,pass1/hyperleap,ok,20260309213350,
https://web.archive.org/web/20260410045847/https://hyperleap.ai/payment-terms,pass1/hyperleap,ok,20260410045847,
https://web.archive.org/web/20260420042312/https://openai.com/sora/,pass1/openai-sora,ok,20260420042312,
https://web.archive.org/web/20260420102953/https://chatgpt.com/pricing/,pass1/openai-sora,ok,20260420102953,
https://web.archive.org/web/20260512174902/https://pixlr.com/ai/ai-image-generator/,pass1/pixlr,ok,20260512174902,
https://web.archive.org/web/20260607171531/https://www.shortsfaceless.com/,pass1/shortsfaceless,ok,20260607171531,
https://web.archive.org/web/20260708062709/https://www.canva.com/pricing/,pass1/canva,ok,20260708062709,
https://web.archive.org/web/20260721182758/https://speechify.com/refund-policy/,pass1/speechify,ok,20260721182758,
https://web.archive.org/web/20260721182758/https://speechify.com/usage-limits/,pass1/speechify,ok,20260721182758,
https://web.archive.org/web/20260726175859/https://humanizemy.ai/,pass1/humanizemy; adjudicated/humanizemy,ok,20260726175859,
https://web.archive.org/web/20260729125259/https://help.openai.com/en/articles/20001152-what-to-know-about-the-sora-discontinuation,pass1/openai-sora,ok,20260729125259,
https://web.archive.org/web/20260801092350/https://one.google.com/about/plans,pass1/google-veo; adjudicated/google-veo,ok,20260801092350,
https://web.archive.org/web/20260802131510/https://picsart.com/pricing/,pass1/picsart,ok,20260802131510,
https://web.archive.org/web/20260804232540/https://www.canva.com/,pass1/canva,ok,20260804232540,
https://web.archive.org/web/20260805085223/https://www.framer.com/pricing,pass1/framer,ok,20260805085223,
https://web.archive.org/web/20260805125923/https://www.canva.com/pricing/,pass1/canva,ok,20260805125923,
