pass,product,variable,current_kind,verdict,corrected_kind,basis
pass1,murf-ai,free_plan_watermark,vendor_silence,CONFIRMED,,"'watermark' absent from pricing page, ToS and the free-trial help article; codebook directs unknown for a silent table, and third-party watermark claims were correctly refused"
pass1,murf-ai,output_ownership_statement,vendor_silence,CONFIRMED,,ToS 3.1 quoted and correctly scoped to user-submitted input; no output-ownership clause in the ToS or Product-Specific Terms
pass1,murf-ai,watermark_removal_tier,vendor_silence,CONFIRMED,,"cascades from free_plan_watermark, itself documented silence across a read and reachable document set"
pass1,myperfectresume,commercial_use_lowest_tier,vendor_silence,CONFIRMED,,the one AUP phrase located is quoted and correctly scoped to the Bold.pro profile context; no output-licensing clause anywhere
pass1,myperfectresume,free_plan_watermark,vendor_silence,CONFIRMED,,"zero 'watermark' hits across the full 113,851-char terms and the pricing page; free tier gated by a TXT-only format lock instead"
pass1,myperfectresume,watermark_removal_tier,vendor_silence,CONFIRMED,,"zero hits across terms and pricing page; the free-tier gate is a format lock, not a watermark"
pass1,nicepage,output_ownership_statement,vendor_silence,CONFIRMED,,"/terms and /agreement read in full, both scoped to Nicepage's own materials, neither addressing the user's published site"
pass1,nicepage,renewal_notice_commitment,vendor_silence,CONFIRMED,,"no notice commitment of any kind, not even an adjacent price-change clause"
pass1,nicepage,trial_auto_converts,vendor_silence,CONFIRMED,,"no document states conversion; the trial is tied to account creation, separate from checkout"
pass1,nicepage,trial_card_required,vendor_silence,CONFIRMED,,no document states whether payment details are needed to start the trial
pass1,openai-sora,annual_condition_disclosure,vendor_silence,WRONG,access_failure,"AUDIT. 'the last reachable pre-shutdown ChatGPT pricing capture does not mention Sora at all' -- cascades from headline_price_usd, unresolved because the Sora Billing & Credits FAQ is 404 live with only an empty archived shell; 9 sibling rows on this record were hand-fixed to access_failure."
pass1,openai-sora,commercial_use_lowest_tier,vendor_silence,WRONG,access_failure,"AUDIT. 'no Sora-specific documentation was reachable to check further' -- the decisive clause is unreachability, not vendor non-publication; the ToS keyword search alone cannot establish silence."
